,JOB MIX,MESIN,TANGGAL,YEARS,MONTH,DAYS,NAMA_PRODUCT,WO QTY,REJECT,ACTUAL QTY,PERSENTASE REJECT
0,JOBMIX 1,MP 1,2024-01-02,2024,1,Selasa,PAVING 6 K300 ABU-ABU,4152,0,4152,0.0%
1,JOBMIX 1,MP 2,2024-01-02,2024,1,Selasa,PAVING 6 K300 ABU-ABU,6000,0,6000,0.0%
2,JOBMIX 1,MP 3,2024-01-02,2024,1,Selasa,PAVING 6 K300 ABU-ABU,5640,0,5640,0.0%
3,JOBMIX 1,MP 6,2024-01-02,2024,1,Selasa,KANSTIN 421 K300 ABU-ABU,906,0,906,0.0%
4,JOBMIX 1,MP 5,2024-01-02,2024,1,Selasa,PAVING SEGI ENAM 6 K300 ABU-ABU,3024,0,3024,0.0%
5,JOBMIX 1,MP 7,2024-01-02,2024,1,Selasa,PAVING 6 K300 ABU-ABU,6024,0,6024,0.0%
6,JOBMIX 1,MP 1,2024-01-03,2024,1,Rabu,PAVING 6 K300 ABU-ABU,7212,0,7212,0.0%
7,JOBMIX 1,MP 2,2024-01-03,2024,1,Rabu,PAVING 6 K300 ABU-ABU,6024,0,6024,0.0%
8,JOBMIX 1,MP 3,2024-01-03,2024,1,Rabu,PAVING 6 K300 ABU-ABU,6348,0,6348,0.0%
9,JOBMIX 1,MP 6,2024-01-03,2024,1,Rabu,KANSTIN 421 K300 ABU-ABU,1086,0,1086,0.0%
10,JOBMIX 1,MP 5,2024-01-03,2024,1,Rabu,PAVING SEGI ENAM 6 K300 ABU-ABU,3612,0,3612,0.0%
11,JOBMIX 1,MP 7,2024-01-03,2024,1,Rabu,PAVING 6 K300 ABU-ABU,7224,0,7224,0.0%
12,JOBMIX 1,MP 1,2024-01-04,2024,1,Kamis,PAVING 6 K300 ABU-ABU,7224,0,7224,0.0%
13,JOBMIX 1,MP 2,2024-01-04,2024,1,Kamis,PAVING 6 K300 ABU-ABU,7224,0,7224,0.0%
14,JOBMIX 1,MP 3,2024-01-04,2024,1,Kamis,PAVING 6 K300 ABU-ABU,7212,0,7212,0.0%
15,JOBMIX 1,MP 6,2024-01-04,2024,1,Kamis,KANSTIN 421 K300 ABU-ABU,1080,0,1080,0.0%
16,JOBMIX 1,MP 5,2024-01-04,2024,1,Kamis,PAVING SEGI ENAM 6 K300 ABU-ABU,3624,0,3624,0.0%
17,JOBMIX 1,MP 7,2024-01-04,2024,1,Kamis,PAVING 6 K300 ABU-ABU,7200,0,7200,0.0%
18,JOBMIX 1,MP 1,2024-01-05,2024,1,Jumat,PAVING 6 K300 ABU-ABU,7212,0,7212,0.0%
19,JOBMIX 1,MP 3,2024-01-05,2024,1,Jumat,PAVING 6 K300 ABU-ABU,7212,0,7212,0.0%
20,JOBMIX 1,MP 6,2024-01-05,2024,1,Jumat,KANSTIN 421 K300 ABU-ABU,1092,0,1092,0.0%
21,JOBMIX 1,MP 5,2024-01-05,2024,1,Jumat,PAVING SEGI ENAM 6 K300 ABU-ABU,3654,0,3654,0.0%
22,JOBMIX 1,MP 7,2024-01-05,2024,1,Jumat,PAVING 6 K300 ABU-ABU,7200,0,7200,0.0%
23,JOBMIX 1,MP 1,2024-01-06,2024,1,Sabtu,PAVING 6 K300 ABU-ABU,4812,0,4812,0.0%
24,JOBMIX 1,MP 2,2024-01-06,2024,1,Sabtu,PAVING 6 K300 ABU-ABU,4824,0,4824,0.0%
25,JOBMIX 1,MP 3,2024-01-06,2024,1,Sabtu,PAVING 6 K300 ABU-ABU,4824,0,4824,0.0%
26,JOBMIX 1,MP 6,2024-01-06,2024,1,Sabtu,KANSTIN 421 K300 ABU-ABU,720,0,720,0.0%
27,JOBMIX 1,MP 5,2024-01-06,2024,1,Sabtu,PAVING SEGI ENAM 6 K300 ABU-ABU,2418,0,2418,0.0%
28,JOBMIX 1,MP 7,2024-01-06,2024,1,Sabtu,PAVING 6 K300 ABU-ABU,4812,0,4812,0.0%
